date,open,high,low,close,volume,target_return
1644451,44347.80078125,45661.171875,43402.80859375,43565.11328125,32142048537,-0.1201076621210581
1644537,43571.12890625,43810.83203125,42114.5390625,42407.9375,26954925781,-0.0753094571034019
1644624,42412.30078125,42992.55078125,41852.57421875,42244.46875,18152390304,-0.0743131682180285
1644710,42236.56640625,42693.0546875,41950.94140625,42197.515625,14741589015,-0.106350584916692
1644796,42157.3984375,42775.77734375,41681.95703125,42586.91796875,20827783012,0.0142371515753947
1644883,42586.46484375,44667.21875,42491.03515625,44575.203125,22721659051,-0.0049481862288204
1644969,44578.27734375,44578.27734375,43456.69140625,43961.859375,19792547657,-0.0008585211826017
1645056,43937.0703125,44132.97265625,40249.37109375,40538.01171875,26246662813,0.0472094526250488
1645142,40552.1328125,40929.15234375,39637.6171875,40030.9765625,23310007704,-0.0223169947491834
1645228,40026.0234375,40418.87890625,39713.05859375,40122.15625,13736557863,-0.0179843353384079
1645315,40118.1015625,40119.890625,38112.8125,38431.37890625,18340576452,-0.0002964903049093
1645401,38423.2109375,39394.4375,36950.4765625,37075.28125,29280402798,0.0266149784770681
1645488,37068.76953125,38359.85546875,36488.93359375,38286.02734375,25493150450,0.0117860801657099
1645574,38285.28125,39122.39453125,37201.81640625,37296.5703125,21849073843,0.1256511102625261
1645660,37278.56640625,38968.83984375,34459.21875,38332.609375,46383802093,0.0288227590167804
1645747,38333.74609375,39630.32421875,38111.34375,39214.21875,26545599159,-0.0106911754744571
1645833,39213.08203125,40005.34765625,38702.53515625,39105.1484375,17467554129,-0.0051434843437934
1645920,39098.69921875,39778.94140625,37268.9765625,37709.78515625,23450127612,0.003709353041138
1646006,37706.0,43760.45703125,37518.21484375,43193.234375,35690014104,-0.0816442787806395
1646092,43194.50390625,44793.6015625,42952.5859375,44354.63671875,32479047645,-0.1130851683963777
1646179,44357.6171875,45077.578125,43432.8515625,43924.1171875,29183112630,-0.0632952391082134
1646265,43925.1953125,44021.578125,41914.75,42451.7890625,24967782593,-0.0353438615753274
1646352,42458.140625,42479.61328125,38805.84765625,39137.60546875,28516271427,0.068056048635289
1646438,39148.44921875,39566.3359375,38777.03515625,39400.5859375,16975917450,0.0708128150854354
1646524,39404.19921875,39640.17578125,38211.6484375,38419.984375,19745229902,0.0736033574649261
1646611,38429.3046875,39430.2265625,37260.203125,38062.0390625,28546143503,0.0792379259108433
1646697,38059.90234375,39304.44140625,37957.38671875,38737.26953125,25776583476,0.0934897866143726
1646784,38742.81640625,42465.671875,38706.09375,41982.92578125,32284121034,0.0216762227278222
1646870,41974.0703125,42004.7265625,38832.94140625,39437.4609375,31078064711,0.1146998957011644
1646956,39439.96875,40081.6796875,38347.43359375,38794.97265625,26364890465,0.1431566368588552
1647043,38794.46484375,39308.59765625,38772.53515625,38904.01171875,14616450657,0.1438621920718932
1647129,38884.7265625,39209.3515625,37728.14453125,37849.6640625,17300745310,0.237012093692212
1647216,37846.31640625,39742.5,37680.734375,39666.75390625,24322159070,0.18809832580791
1647302,39664.25,39794.62890625,38310.2109375,39338.78515625,23934000868,0.2065886193541699
1647388,39335.5703125,41465.453125,39022.34765625,41143.9296875,39616916192,0.1438543770601033
1647475,41140.84375,41287.53515625,40662.87109375,40951.37890625,22009601093,0.1120181297313993
1647561,40944.83984375,42195.74609375,40302.3984375,41801.15625,34421564942,0.107185749945613
1647648,41794.6484375,42316.5546875,41602.66796875,42190.65234375,19664853187,0.0871827447708306
1647734,42191.40625,42241.1640625,41004.7578125,41247.82421875,20127946682,0.1262064675191674
1647820,41246.1328125,41454.41015625,40668.04296875,41077.99609375,24615543271,0.1349793128867749
1647907,41074.10546875,43124.70703125,40948.28125,42358.80859375,32004652376,0.0754786005530321
1647993,42364.37890625,42893.5078125,41877.5078125,42892.95703125,25242943069,0.0073154492419673
1648080,42886.65234375,44131.85546875,42726.1640625,43960.93359375,31042992291,-0.0103975484625509
1648166,43964.546875,44999.4921875,43706.28515625,44348.73046875,30574413034,-0.0464740790652917
1648252,44349.859375,44735.99609375,44166.2734375,44500.828125,16950455995,-0.03862156006226
1648339,44505.35546875,46827.546875,44437.29296875,46820.4921875,28160889722,-0.0985213972981582
1648425,46821.8515625,48086.8359375,46690.203125,47128.00390625,36362175703,-0.1613923979812626
1648512,47100.4375,48022.2890625,47100.4375,47465.73046875,31397059069,-0.1546072672331773
1648598,47456.8984375,47655.1484375,46746.2109375,47062.6640625,29333883962,-0.1252783647334563
1648684,47062.1484375,47512.02734375,45390.5390625,45538.67578125,33327427106,-0.1230417894267587
1648771,45554.1640625,46616.2421875,44403.140625,46281.64453125,38162644287,-0.1237678510674411
1648857,46285.5,47028.28125,45782.51171875,45868.94921875,29336594194,-0.1186960882357525
1648944,45859.12890625,47313.4765625,45634.10546875,46453.56640625,25414397610,-0.1450182150135976
1649030,46445.2734375,46791.08984375,45235.81640625,46622.67578125,32499785455,-0.1243270756208104
1649116,46624.5078125,47106.140625,45544.80859375,45555.9921875,29640604055,-0.0889727562252976
1649203,45544.35546875,45544.35546875,43193.953125,43206.73828125,39393395788,-0.0424091113537068
1649289,43207.5,43860.69921875,42899.90625,43503.84765625,26101973106,-0.0684188763835095
1649376,43505.13671875,43903.01953125,42183.2890625,42287.6640625,27215995394,-0.0602384597606312
1649462,42282.078125,42786.81640625,42183.25390625,42782.13671875,16050772496,-0.077027621870876
1649548,42781.08984375,43376.37890625,42021.20703125,42207.671875,17654475582,-0.0648787005916801
1649635,42201.0390625,42424.58984375,39373.05859375,39521.90234375,33949912166,0.0236933496230877
1649721,39533.71484375,40617.5859375,39388.328125,40127.18359375,30991500854,-0.0500838203995713
1649808,40123.5703125,41430.0546875,39712.74609375,41166.73046875,27691105228,-0.0467758637393306
1649894,41160.21875,41451.48046875,39695.74609375,39935.515625,24342001973,-0.0040487144705546
1649980,39939.40234375,40617.72265625,39866.83203125,40553.46484375,21756855753,-0.0479278560411231
1650067,40552.31640625,40633.6796875,40078.42578125,40424.484375,16833150693,-0.0670289161851553
1650153,40417.77734375,40570.7265625,39620.89453125,39716.953125,19087633042,-0.0314188092694988
1650240,39721.203125,40986.3203125,38696.19140625,40826.21484375,33705182072,-0.0562600948322209
1650326,40828.17578125,41672.9609375,40618.6328125,41502.75,25303206547,-0.0904108010914939
1650412,41501.74609375,42126.30078125,40961.09765625,41374.37890625,27819532341,-0.040508349776021
1650499,41371.515625,42893.58203125,40063.828125,40527.36328125,35372786395,-0.0975198566169365
1650585,40525.86328125,40777.7578125,39315.41796875,39740.3203125,28011716745,-0.0930892959193483
1650672,39738.72265625,39935.859375,39352.203125,39486.73046875,16138021249,-0.1009143399933699
1650758,39478.375,39845.92578125,39233.5390625,39469.29296875,17964398167,-0.1370692742845283
1650844,39472.60546875,40491.75390625,38338.37890625,40458.30859375,35445730570,-0.2511562104778578
1650931,40448.421875,40713.890625,37884.984375,38117.4609375,34569088416,-0.1861234854843222
1651017,38120.30078125,39397.91796875,37997.3125,39241.12109375,30981015184,-0.2626012034768613
1651104,39241.4296875,40269.46484375,38941.421875,39773.828125,33903704907,-0.2696767366260398
